epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,357.423,1.56005,2.42407,1.48642,0.39332,0.26396,0.27608,0.13974,1.85892,3.15355,1.58765,0.000647059,0.000647059,0.000647059
2,729.043,1.5576,1.72215,1.4924,0.11042,0.40957,0.10006,0.03877,2.39617,23.8195,2.45234,0.00128771,0.00128771,0.00128771
3,1094.49,1.6452,1.69883,1.55111,0.02686,0.30964,0.02072,0.00806,2.38119,53.7957,2.44833,0.00190197,0.00190197,0.00190197
4,1446.46,1.59523,1.65713,1.50141,0.10696,0.08269,0.04443,0.02334,2.61315,5.87761,2.80808,0.0018812,0.0018812,0.0018812
5,1833.24,1.62752,1.61821,1.52157,0.52619,0.40102,0.42363,0.22162,2.00516,2.47925,1.80065,0.0018416,0.0018416,0.0018416
6,2185.73,1.60988,1.55131,1.49558,0.58788,0.28934,0.35945,0.17938,1.96142,2.79304,1.7621,0.001802,0.001802,0.001802
7,2559.48,1.51816,1.5092,1.46892,0.55624,0.32487,0.35117,0.17157,1.9617,2.24467,1.70082,0.0017624,0.0017624,0.0017624
8,2924.66,1.4627,1.34405,1.40616,0.59204,0.39086,0.45204,0.2371,1.99405,2.36369,2.09331,0.0017228,0.0017228,0.0017228
9,3277.65,1.48222,1.38142,1.41299,0.56213,0.4264,0.43373,0.2119,1.93395,2.13604,1.70096,0.0016832,0.0016832,0.0016832
10,3664.12,1.44841,1.29708,1.39297,0.63225,0.4264,0.48931,0.27936,1.78552,1.93014,1.60606,0.0016436,0.0016436,0.0016436
11,4017.71,1.41657,1.28662,1.38343,0.60967,0.48731,0.52639,0.29196,1.81739,1.77494,1.59786,0.001604,0.001604,0.001604
12,4396.88,1.43176,1.29821,1.39555,0.55305,0.50248,0.51223,0.28219,1.82755,1.68516,1.62959,0.0015644,0.0015644,0.0015644
13,4757.35,1.365,1.1911,1.34437,0.66157,0.51777,0.58782,0.32371,1.66699,1.53345,1.43916,0.0015248,0.0015248,0.0015248
